,time,pgn,priority,source,destination,data,description
0,0.0,60928,6,23,255,0C 6E 24 04 00 13 02 20 ,Unknown
1,281.0,59904,6,23,255,00 EE 00 ,Unknown
2,301.0,65535,7,23,255,22 FF FF 3C FF FF FF FF ,Unknown
3,685.0,60928,6,23,255,0C 6E 24 04 00 13 02 20 ,Unknown
4,882.0,65226,6,23,255,00 FF 00 00 00 00 FF FF ,Unknown
5,961.0,65535,7,23,255,22 FF FF 3C FF FF FF FF ,Unknown
6,1640.0,65535,7,23,255,22 FF FF 3C FF FF FF FF ,Unknown
7,2301.0,65535,7,23,255,22 FF FF 3C FF FF FF FF ,Unknown
8,2961.0,65535,7,23,255,22 FF FF 3C FF FF FF FF ,Unknown
9,3640.0,65535,7,23,255,22 FF FF 3C FF FF FF FF ,Unknown
10,4300.0,65535,7,23,255,22 FF FF 3C FF FF FF FF ,Unknown
11,4961.0,65535,7,23,255,22 FF FF 3C FF FF FF FF ,Unknown
12,5640.0,65535,7,23,255,22 FF FF 3C FF FF FF FF ,Unknown
13,6300.0,65535,7,23,255,22 FF FF 3C FF FF FF FF ,Unknown
14,6960.0,65535,7,23,255,22 FF FF 3C FF FF FF FF ,Unknown
15,7640.0,65535,7,23,255,22 FF FF 3C FF FF FF FF ,Unknown
16,8300.0,65535,7,23,255,22 FF FF 3C FF FF FF FF ,Unknown
17,8960.0,65535,7,23,255,22 FF FF 3C FF FF FF FF ,Unknown
18,9640.0,65535,7,23,255,22 FF FF 3C FF FF FF FF ,Unknown
19,10300.0,65535,7,23,255,22 FF FF 3C FF FF FF FF ,Unknown
20,10960.0,65535,7,23,255,22 FF FF 3C FF FF FF FF ,Unknown
21,11640.0,65535,7,23,255,22 FF FF 3C FF FF FF FF ,Unknown
22,12300.0,65535,7,23,255,22 FF FF 3C FF FF FF FF ,Unknown
23,12960.0,65535,7,23,255,22 FF FF 3C FF FF FF FF ,Unknown
24,13640.0,65535,7,23,255,22 FF FF 3C FF FF FF FF ,Unknown
25,14300.0,65535,7,23,255,22 FF FF 3C FF FF FF FF ,Unknown
26,14960.0,65535,7,23,255,22 FF FF 3C FF FF FF FF ,Unknown
